
2025/03/14 (00:45:26) | ===> btop++ v.1.4.0
2025/03/14 (00:45:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (01:42:27) | ===> btop++ v.1.4.0
2025/03/14 (01:42:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (16:34:26) | ===> btop++ v.1.4.0
2025/03/19 (16:34:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (22:49:43) | ===> btop++ v.1.4.0
2025/03/25 (22:49:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (03:41:21) | ===> btop++ v.1.4.0
2025/03/27 (03:41:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (16:10:52) | ===> btop++ v.1.4.0
2025/03/30 (16:10:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (03:05:12) | ===> btop++ v.1.4.0
2025/04/05 (03:05:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (03:33:57) | ===> btop++ v.1.4.0
2025/04/05 (03:33:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (05:56:51) | ===> btop++ v.1.4.0
2025/04/05 (05:56:51) | WARNING: Intel GPU: Failed to initialize PMU
